Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP37,999.00",HP ENVY x360 14–ES0013DX,"13th Gen Intel® Core™ i5-1335U Processor 12M Cache, up to 4.60 GHz",Intel® Iris™ Xe Graphics,8 GB,Unspecified,512GB SSD,13.3'' FHD,"360X,https://2b.com.eg/en/hp-envy-x360-14-es0013dx-laptop-intelr-coretm-i5-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-13-3-fhd-win11-natural-silver.html,In stock Only 3 left",HP,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh404-1.png,In stock Only 3 left,https://2b.com.eg/en/hp-envy-x360-14-es0013dx-laptop-intelr-coretm-i5-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-13-3-fhd-win11-natural-silver.html,Medium,"EGP37,999.00 'Medium'",-,Deal
"EGP38,799.00",HP Pavilion x360 14-ek0011ne,"12th Gen Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris® Xᵉ Graphics,8 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"14"" FHD 1920 x 1080","360X,https://2b.com.eg/en/hp-pavilion-x360-14-ek0011ne-intelr-coretmi5-1235u-8gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,In stock",HP,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh395-2-2b.jpg,In stock,https://2b.com.eg/en/hp-pavilion-x360-14-ek0011ne-intelr-coretmi5-1235u-8gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,Medium,"EGP38,799.00 'Medium'",-,Deal
"EGP36,499.00",TP3402ZA-LZ007W,"Intel® Core™ i7-12700H Processor 24M Cache, up to 4.70 GHz",*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory,8 GB,Unspecified,512GB SSD,"14.0-inch, WUXGA (1920 x 1200)","360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz007w-intelr-coretm-i7-12700h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,In stock",Asus,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu357.jpg,In stock,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz007w-intelr-coretm-i7-12700h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,Low,"EGP36,499.00 'Low'",-,Deal
"EGP28,999.00",TN3402QA-LZ005W,"AMD Ryzen™ 5 5600H Mobile Processor (6-core/12-thread, 19MB cache, up to 4.2 GHz max boost)",512GB M.2 NVMe™ PCIe® 3.0 SSD,8 GB,Unspecified,512GB SSD,14.0 '' WUXGA,"360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tn3402qa-lz005w-amd-ryzentm-r5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-quiet-blue.html,In stock",Asus,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu380.jpg,In stock,https://2b.com.eg/en/asus-vivobook-s-14-flip-tn3402qa-lz005w-amd-ryzentm-r5-5600h-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-quiet-blue.html,Low,"EGP28,999.00 'Low'",-,Deal
"EGP30,299.00",TN3402YA-LZ005W,"AMD Ryzen™ 5 7530U Processor 2.0GHz (19MB Cache, up to 4.5 GHz, 6 cores, 12 Threads)",AMD Radeon Graphics,8 GB,Unspecified,512GB M.2 NVMe™ PCIe® 3.0 SSD,"14.0-inch, WUXGA (1920 x 1200)","360X,https://2b.com.eg/en/asus-vivobook-s14-flip-tn3402ya-lz005w-laptop-amd-ryzentm-r5-7530u-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-cool-silver.html,In stock",Asus,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu613--11.png,In stock,https://2b.com.eg/en/asus-vivobook-s14-flip-tn3402ya-lz005w-laptop-amd-ryzentm-r5-7530u-8gb-512gb-ssd-amd-radeontm-graphics-14-0-wuxga-win11-cool-silver.html,Low,"EGP30,299.00 'Low'",-,Deal
"EGP35,499.00",TP3402ZA-LZ005W,"12th Gen Intel® Core™ i5-12500H (up to 4.5 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads)",*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory,8 GB,Unspecified,512GB SSD,"14.0-inch, WUXGA (1920 x 1200)","360X,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz005w-intelr-coretm-i5-12500h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,Out Of Stock",Asus,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu358.png,Out Of Stock,https://2b.com.eg/en/asus-vivobook-s-14-flip-tp3402za-lz005w-intelr-coretm-i5-12500h-8gb-512gb-ssd-intelr-uhd-graphics-14-0-wuxga-win11-cool-silver.html,Low,"EGP35,499.00 'Low'",-,Deal
"EGP47,199.00",HP Pavilion x360 14-ek0010ne,"12th Gen Intel® Core™ i7-1255U (up to 4.7 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris Xe Graphics,16 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"14"" FHD 1920 x 1080","360X,https://2b.com.eg/en/hp-pavilion-x360-14-ek0010ne-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,In stock Only 1 left",HP,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh395-1-2b.jpg,In stock Only 1 left,https://2b.com.eg/en/hp-pavilion-x360-14-ek0010ne-intelr-coretm-i7-1255u-16gb-512gb-ssd-intelr-irisr-x-graphics-14-fhd-win11-natural-silver.html,Medium,"EGP47,199.00 'Medium'",-,Deal
"EGP35,999.00",Lenovo Flex 5,"AMD Ryzen™ 7 5700U (8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3)",Integrated AMD Radeon™ Graphics,8 GB,Unspecified,512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®,"14"" FHD 1920 x 1080 , Touch","360X,https://2b.com.eg/en/lenovo-flex-5-amd-ryzentm7-5700u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-win10-graphite-grey.html,In stock Only 1 left",Lenovo,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl869-1-2b.jpg,In stock Only 1 left,https://2b.com.eg/en/lenovo-flex-5-amd-ryzentm7-5700u-8gb-512gb-ssd-amd-radeontm-graphics-14-fhd-win10-graphite-grey.html,Low,"EGP35,999.00 'Low'",-,Deal
"EGP47,199.00",HP ENVY x360 13-bf0003ne,"12th Gen Intel® Core™ i5-1230U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Iris® Xᵉ Graphics,8 GB,Unspecified,512 GB PCIe® NVMe™ TLC M.2 SSD,"13.3"" WUXGA 1920 x 1200","360X,https://2b.com.eg/en/hp-envy-x360-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-intelr-irisr-x-graphics-13-3-wuxga-win11-natural-silver.html,In stock Only 5 left",HP,360X,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh394-evo.jpg,In stock Only 5 left,https://2b.com.eg/en/hp-envy-x360-13-bf0003ne-intelr-coretm-i5-1230u-8gb-512gb-ssd-intelr-irisr-x-graphics-13-3-wuxga-win11-natural-silver.html,Medium,"EGP47,199.00 'Medium'",-,Deal
